user_id,post_id
user_7560,11072
user_458,11077
user_3510,11084
user_3097,11097
user_3082,11103
user_3510,11106
user_49,11152
user_760,11155
user_7135,11170
user_858,11171
user_18,11173
user_7415,11176
user_246,11177
user_49,11179
user_49,11180
user_5213,11183
user_19,11186
user_7601,11189
user_179,11191
user_5002,11197
user_3510,11203
user_147,11208
user_19,11210
user_3202,11212
user_7423,11214
user_6507,11230
user_2690,11244
user_7632,11251
user_3510,11252
user_5002,11253
user_6507,11277
user_697,11281
user_731,11292
user_7658,11294
user_338,11295
user_7389,11315
user_2252,11316
user_6507,11317
user_3082,11319
user_7646,11320
user_7648,11336
user_7563,11340
user_6799,11341
user_19,11342
user_760,11346
user_6507,11348
user_3202,11351
user_3407,11353
user_6421,11384
user_5002,11387
user_3082,11388
user_246,11395
user_3510,11399
user_478,11408
user_3202,11411
user_3202,11418
user_7,11423
user_49,11435
